Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
93,158.425,159.045,1.185,1.205,101.27,99.59,64.56,64.32,35.44,35.68,11.76,11.61,58.82,60.65,29.41,27.74,27.53,27.53,1.035,1.243,0.836,1.013,411.0,452.6,3.092,3.275,-0.0,0.6,44.46,44.51,-64.83,-64.29,0.073,-0.058,122.65,107.53,0.327,0.296,0.091,0.059,0.082,0.056,0.283,0.273
94,159.660,160.240,1.235,1.195,97.17,100.42,62.35,65.69,37.65,34.31,15.58,12.10,57.14,59.87,27.27,28.03,28.75,28.75,1.209,1.166,1.141,1.060,363.6,486.6,,3.401,-1.6,2.5,46.83,41.96,-52.26,-75.01,-0.021,-0.040,111.36,110.53,0.262,0.297,,0.038,,0.022,,0.265
95,160.860,161.445,1.200,1.205,100.00,99.59,62.92,66.39,37.08,33.61,13.91,11.25,52.98,60.62,33.11,28.12,27.27,27.27,1.167,1.276,1.036,1.041,388.0,462.1,3.006,3.293,1.7,-0.8,40.24,39.02,-65.09,-65.95,0.012,-0.032,109.33,107.53,0.306,0.288,0.080,0.052,0.079,0.051,0.270,0.257
96,162.070,162.685,1.210,1.240,99.17,96.77,60.74,64.52,39.26,35.48,13.61,11.88,61.90,62.50,24.49,25.62,27.76,27.76,1.184,1.151,0.995,0.925,330.0,408.0,,3.151,1.4,-0.8,42.02,43.11,-55.97,-65.03,0.019,-0.055,111.09,109.76,0.277,0.277,,0.040,,0.037,,0.275
97,163.295,163.865,1.225,1.180,97.96,101.69,63.67,65.68,36.33,34.32,14.74,18.71,56.41,50.32,28.85,30.97,29.61,29.61,1.142,1.097,0.903,1.002,415.1,417.1,3.449,3.267,-3.4,0.1,41.48,35.18,-58.67,-64.42,0.036,0.024,114.00,108.69,0.313,0.290,0.091,0.052,0.056,0.039,0.239,0.213
98,164.460,165.085,1.165,1.220,103.00,98.36,64.38,61.48,35.62,38.52,10.00,10.67,62.00,60.67,28.00,28.67,25.00,25.00,1.193,1.259,1.061,1.028,337.4,403.1,3.411,3.236,-0.5,1.6,37.13,40.04,-57.24,-63.59,0.017,-0.052,107.17,106.73,0.287,0.274,0.068,0.043,0.052,0.036,0.219,0.258
99,165.740,166.355,1.280,1.270,93.75,94.49,61.72,63.39,38.28,36.61,11.39,10.56,60.13,59.63,28.48,29.81,25.21,25.21,1.201,1.253,1.001,0.988,349.6,402.0,3.169,3.303,1.0,-0.5,32.75,30.33,-62.36,-67.17,0.056,-0.051,109.43,106.44,0.296,0.303,0.072,0.071,0.024,0.062,0.197,0.204
100,166.950,167.535,1.210,1.180,99.17,101.69,63.64,66.10,36.36,33.90,10.39,8.33,63.64,63.46,25.97,28.21,31.91,31.91,1.107,1.113,0.887,0.958,366.2,495.6,3.153,3.220,-0.1,-0.3,39.64,42.45,-57.56,-68.73,-0.032,-0.048,110.78,108.49,0.299,0.291,0.089,0.043,0.071,0.039,0.236,0.255
101,168.125,168.740,1.175,1.205,102.13,99.59,65.96,62.24,34.04,37.76,14.84,13.33,56.77,58.67,28.39,28.00,27.69,27.69,1.224,1.119,1.068,0.931,405.1,390.3,3.316,3.250,2.3,-4.2,41.23,36.06,-64.76,-64.77,0.039,-0.023,110.91,114.44,0.302,0.318,0.068,0.084,0.067,0.054,0.262,0.243
102,169.335,169.960,1.210,1.220,99.17,98.36,65.29,62.70,34.71,37.30,13.29,9.80,58.86,63.40,27.85,26.80,28.03,28.03,1.081,1.183,0.987,1.156,344.8,428.7,3.056,3.227,-2.5,5.0,30.98,35.50,-60.88,-65.08,0.040,-0.051,109.10,109.14,0.304,0.287,0.089,0.051,0.069,0.040,0.195,0.230
103,170.530,171.205,1.195,1.245,100.42,96.39,66.11,59.84,33.89,40.16,10.13,8.72,60.76,63.09,29.11,28.19,26.32,26.32,0.960,1.051,0.810,0.828,385.9,386.0,3.217,2.929,-1.3,-2.2,38.95,28.61,-66.26,-64.31,0.044,-0.095,129.94,117.31,0.334,0.300,0.089,0.061,0.074,0.033,0.240,0.169
104,171.765,172.340,1.235,1.135,97.17,105.73,66.80,63.44,33.20,36.56,15.15,8.33,56.97,58.33,27.88,33.33,28.87,28.87,1.201,1.141,1.110,1.064,405.1,481.1,3.229,3.228,1.2,3.0,41.77,39.12,-65.08,-72.03,0.034,-0.053,109.23,108.99,0.294,0.293,0.054,0.039,0.052,0.025,0.244,0.244
105,172.960,173.610,1.195,1.270,100.42,94.49,63.60,57.87,36.40,42.13,10.53,10.20,60.53,68.03,28.95,21.77,24.08,24.08,1.164,1.135,1.045,0.862,391.5,406.0,,2.956,1.4,3.1,42.82,43.70,-61.81,-67.27,0.034,-0.058,111.76,111.79,0.284,0.290,,0.049,,0.047,,0.278
106,174.185,174.820,1.225,1.210,97.96,99.17,67.76,59.50,32.24,40.50,11.45,11.11,62.05,59.03,26.51,29.86,18.85,18.85,1.055,1.250,0.992,1.247,435.6,544.0,3.353,,-3.5,-1.0,37.74,44.01,-71.46,-68.67,0.046,-0.080,118.99,111.78,0.317,0.271,0.065,,0.047,,0.225,
107,175.405,176.030,1.220,1.210,98.36,99.17,59.02,61.16,40.98,38.84,10.42,8.11,65.28,62.16,24.31,29.73,20.49,20.49,1.120,1.042,0.877,0.959,360.8,384.0,3.244,,-4.0,-3.5,31.01,27.72,-66.86,-68.72,0.048,-0.068,110.73,113.44,0.320,0.295,0.074,,0.030,,0.150,
108,176.625,177.225,1.220,1.195,98.36,100.42,59.02,61.92,40.98,38.08,9.03,10.14,67.36,59.46,23.61,30.41,19.17,19.17,1.160,1.400,0.960,1.104,364.0,424.8,,3.654,6.0,4.9,33.44,27.71,-67.65,-74.11,0.059,-0.075,108.97,106.28,0.312,0.374,,0.117,,0.047,,0.161
109,177.825,178.335,1.200,1.110,100.00,108.11,57.08,69.37,42.92,30.63,7.30,6.49,67.15,61.69,25.55,31.82,32.74,32.74,1.082,0.643,0.983,0.427,344.3,387.2,3.138,,0.1,-1.6,29.40,10.53,-62.63,-69.59,0.061,-0.044,114.60,123.54,0.295,0.285,0.062,,0.044,,0.194,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
