Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
79,138.150,137.540,1.210,1.230,99.17,97.56,64.46,66.67,35.54,33.33,8.97,12.20,63.46,59.76,27.56,28.05,30.20,30.20,1.204,1.184,1.018,0.992,347.3,395.6,3.502,3.496,1.4,3.3,23.88,30.21,-65.62,-67.90,0.047,-0.049,105.68,108.92,0.283,0.311,0.032,0.047,,0.033,0.181,0.230
80,139.385,138.765,1.235,1.225,97.17,97.96,65.18,65.31,34.82,34.69,10.56,10.00,62.73,61.88,26.71,28.12,30.77,30.77,1.136,1.132,0.944,0.986,365.7,356.0,3.391,3.326,-1.3,-0.5,25.98,28.76,-65.74,-61.05,0.030,0.075,106.27,112.44,0.304,0.292,0.051,0.047,0.012,0.027,0.192,0.204
81,140.605,140.000,1.220,1.235,98.36,97.17,65.57,65.59,34.43,34.41,11.88,9.88,61.25,62.35,26.88,27.78,31.93,31.93,1.153,1.183,0.939,0.983,369.9,395.4,3.462,3.392,-0.4,-0.1,24.41,30.14,-65.35,-67.75,0.030,0.050,105.75,110.08,0.302,0.322,0.048,0.055,0.008,0.038,0.184,0.225
82,141.825,141.190,1.220,1.190,98.36,100.84,65.16,67.23,34.84,32.77,9.43,10.62,64.78,60.62,25.79,28.75,30.24,30.24,1.096,1.048,0.952,0.928,355.6,412.4,3.304,3.299,2.3,1.9,30.01,28.97,-58.88,-64.84,0.061,0.021,113.00,108.78,0.301,0.301,0.071,0.043,0.044,0.031,0.247,0.196
83,143.055,142.430,1.230,1.240,97.56,96.77,65.04,64.52,34.96,35.48,15.62,10.62,55.00,60.00,29.38,29.38,31.43,31.43,1.213,1.119,1.023,1.022,356.5,387.3,3.577,3.338,-1.6,-0.2,27.57,32.55,-67.07,-66.89,0.043,-0.073,106.83,113.92,0.324,0.297,0.067,0.034,0.028,0.006,0.214,0.217
84,144.270,143.655,1.215,1.225,98.77,97.96,65.02,66.53,34.98,33.47,8.86,11.04,64.56,58.90,26.58,30.06,31.15,31.15,1.108,1.021,0.909,0.873,360.3,410.2,3.320,3.313,0.7,0.6,25.40,29.97,-64.62,-69.32,0.030,0.040,106.92,114.81,0.292,0.315,0.040,0.048,0.011,0.029,0.194,0.226
85,145.480,144.875,1.210,1.220,99.17,98.36,64.88,65.98,35.12,34.02,10.19,10.56,63.06,61.49,26.75,27.95,31.56,31.56,1.093,1.039,0.928,0.936,349.8,376.5,3.325,3.404,-2.5,-0.4,22.31,30.22,-62.09,-64.85,0.024,0.019,106.16,114.76,0.299,0.303,0.055,0.042,0.020,0.013,0.166,0.185
86,146.700,146.095,1.220,1.220,98.36,98.36,66.39,66.39,33.61,33.61,9.26,9.88,63.58,62.35,27.16,27.78,30.45,30.45,1.143,0.975,0.955,0.883,360.3,370.0,3.523,3.142,1.9,-1.0,21.08,26.43,-64.07,-62.65,0.019,0.045,104.51,113.64,0.298,0.278,0.047,0.029,0.010,0.014,0.162,0.188
87,147.910,147.310,1.210,1.215,99.17,98.77,66.12,64.20,33.88,35.80,7.50,8.97,65.00,62.18,27.50,28.85,31.95,31.95,1.038,1.103,0.846,0.899,363.5,356.5,3.352,3.288,-1.6,-2.2,22.86,29.20,-63.96,-61.86,0.038,-0.042,108.66,108.33,0.288,0.298,0.040,0.049,0.008,0.019,0.177,0.192
88,149.145,148.515,1.235,1.205,97.17,99.59,65.18,65.98,34.82,34.02,10.56,8.81,65.84,66.04,23.60,25.16,33.20,33.20,1.051,0.976,0.901,0.849,322.9,348.4,3.138,3.090,0.5,2.2,25.22,23.79,-54.76,-60.61,0.054,-0.019,107.33,112.38,0.262,0.297,0.049,0.056,0.026,0.040,0.197,0.198
