Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
82,124.645,124.010,1.220,1.205,98.36,99.59,65.57,65.15,34.43,34.85,11.25,12.74,57.50,61.78,31.25,25.48,30.42,30.42,1.010,1.006,0.871,0.929,361.3,364.9,3.239,3.378,2.0,0.3,26.36,25.11,-65.77,-55.92,0.043,-0.036,112.18,115.45,0.295,0.283,0.043,0.057,0.016,0.030,0.182,0.189
83,125.840,125.210,1.195,1.200,100.42,100.00,64.02,65.42,35.98,34.58,11.11,6.37,56.86,66.24,32.03,27.39,31.15,31.15,0.973,1.110,0.871,0.975,362.3,338.9,3.098,3.327,0.2,1.0,27.66,24.17,-64.32,-65.50,0.021,-0.018,113.54,107.98,0.296,0.315,0.045,0.060,0.025,0.027,0.193,0.193
84,127.035,126.430,1.195,1.220,100.42,98.36,64.44,66.39,35.56,33.61,9.74,9.26,61.04,61.73,29.22,29.01,28.69,28.69,0.992,1.014,0.919,0.836,368.6,363.4,3.192,3.168,-1.8,0.5,26.95,28.29,-68.33,-65.16,0.037,-0.015,116.42,110.80,0.294,0.313,0.034,0.054,0.018,0.024,0.202,0.194
85,128.225,127.615,1.190,1.185,100.84,101.27,65.13,64.56,34.87,35.44,11.61,11.76,56.77,60.78,31.61,27.45,29.29,29.29,1.058,1.152,0.925,0.992,386.7,334.9,3.333,3.393,0.6,1.1,27.45,26.72,-69.12,-61.96,0.037,-0.022,111.21,106.99,0.306,0.299,0.043,0.054,0.019,0.025,0.196,0.203
86,129.430,128.810,1.205,1.195,99.59,100.42,65.56,64.02,34.44,35.98,11.39,11.11,58.23,61.44,30.38,27.45,31.12,31.12,1.040,1.121,0.927,0.979,362.3,338.1,3.155,3.280,0.9,-1.8,25.51,24.54,-65.63,-63.03,0.021,0.023,109.90,108.07,0.299,0.293,0.050,0.046,0.035,0.020,0.202,0.196
87,130.645,130.015,1.215,1.205,98.77,99.59,66.26,65.56,33.74,34.44,10.56,8.86,57.76,63.92,31.68,27.22,30.74,30.74,0.988,0.983,0.895,0.826,397.6,345.6,3.203,3.122,-2.5,0.2,26.27,25.73,-70.36,-61.37,0.074,-0.018,117.54,113.28,0.318,0.295,0.050,0.050,0.025,0.014,0.193,0.179
88,131.880,131.235,1.235,1.220,97.17,98.36,65.59,64.34,34.41,35.66,8.64,10.83,58.64,62.42,32.72,26.75,30.20,30.20,0.947,1.151,0.815,1.026,369.7,353.4,3.080,3.351,-3.9,2.1,25.03,29.08,-67.62,-61.01,0.029,-0.017,116.06,107.71,0.292,0.273,0.033,0.028,0.016,,0.187,0.196
89,133.100,132.460,1.220,1.225,98.36,97.96,65.57,64.90,34.43,35.10,9.38,15.09,59.38,57.86,31.25,27.04,29.96,29.96,1.130,1.078,0.943,0.916,388.8,327.6,3.382,3.265,4.5,-4.0,28.29,26.49,-68.08,-63.46,0.033,-0.045,108.91,113.76,0.292,0.317,0.033,0.067,0.019,0.035,0.211,0.214
90,134.265,133.695,1.165,1.235,103.00,97.17,69.96,63.97,30.04,36.03,13.50,12.03,53.99,62.66,32.52,25.32,36.82,36.82,1.107,1.093,0.938,0.917,401.2,314.3,3.423,3.276,-0.5,2.3,24.34,24.67,-71.29,-54.09,-0.021,-0.037,107.15,110.47,0.305,0.271,0.039,0.046,0.020,0.012,0.190,0.174
91,135.520,134.890,1.255,1.195,95.62,100.42,66.53,66.11,33.47,33.89,14.97,11.39,55.69,61.39,29.34,27.22,31.25,31.25,0.970,1.015,0.856,0.900,373.5,355.6,3.150,3.264,3.7,2.7,24.83,26.70,-66.28,-58.92,0.021,-0.030,112.49,113.10,0.307,0.290,0.052,0.054,0.024,0.026,0.171,0.207
92,136.710,136.090,1.190,1.200,100.84,100.00,63.45,66.25,36.55,33.75,10.60,11.95,59.60,61.64,29.80,26.42,30.00,30.00,0.952,1.058,0.877,0.935,358.4,348.5,3.071,3.384,-1.9,0.5,24.50,24.88,-63.78,-60.58,-0.018,-0.015,113.91,109.43,0.296,0.285,0.049,0.045,0.027,0.025,0.181,0.201
93,137.890,137.290,1.180,1.200,101.69,100.00,66.53,66.25,33.47,33.75,9.55,8.18,59.24,64.78,31.21,27.04,31.38,31.38,1.095,1.039,0.928,0.890,393.2,376.6,3.389,3.382,-1.3,0.1,27.08,24.55,-69.61,-61.45,-0.014,-0.021,108.11,107.28,0.316,0.288,0.054,0.049,0.042,0.021,0.215,0.178
94,139.090,138.485,1.200,1.195,100.00,100.42,67.08,64.44,32.92,35.56,11.80,9.74,55.90,64.94,32.30,25.32,31.22,31.22,1.080,1.105,0.935,0.988,414.0,315.9,3.528,3.391,1.0,-0.8,25.65,23.91,-68.92,-55.68,0.018,-0.017,108.31,108.41,0.323,0.281,0.061,0.057,0.034,0.021,0.190,0.177
95,140.265,139.670,1.175,1.185,102.13,101.27,65.53,64.56,34.47,35.44,10.39,7.19,59.74,64.71,29.87,28.10,31.06,31.06,1.038,1.060,0.921,0.917,415.5,324.2,3.421,3.326,0.8,-1.0,27.82,21.39,-69.63,-62.50,0.027,-0.024,110.03,108.29,0.316,0.305,0.053,0.060,0.031,0.019,0.210,0.159
96,141.475,140.845,1.210,1.175,99.17,102.13,64.88,65.53,35.12,34.47,8.92,8.44,59.24,62.34,31.85,29.22,30.42,30.42,0.968,1.036,0.845,0.901,359.1,336.6,3.158,3.291,-2.0,0.7,25.33,26.50,-70.32,-64.87,0.023,-0.047,114.33,113.78,0.311,0.325,0.048,0.064,0.027,0.034,0.200,0.195
97,142.655,142.045,1.180,1.200,101.69,100.00,66.10,65.83,33.90,34.17,10.90,8.86,58.97,63.29,30.13,27.85,32.20,32.20,0.986,1.103,0.881,0.923,389.5,336.5,3.235,3.325,0.6,3.4,24.92,22.01,-66.06,-62.26,0.021,-0.018,110.32,108.25,0.293,0.310,0.044,0.059,0.030,0.029,0.196,0.174
98,143.810,143.225,1.155,1.180,103.90,101.69,66.23,66.10,33.77,33.90,13.73,8.97,54.90,62.82,31.37,28.21,30.74,30.74,0.996,1.068,0.903,0.987,392.9,351.9,3.341,,0.3,-1.3,25.29,25.52,-68.38,-62.13,0.044,0.031,112.65,110.98,0.307,0.255,0.047,,0.026,,0.183,
99,145.085,144.445,1.275,1.220,94.12,98.36,67.45,62.70,32.55,37.30,8.72,11.11,59.88,60.13,31.40,28.76,29.84,29.84,1.070,1.100,0.826,0.919,375.3,357.2,3.223,3.191,1.4,1.1,30.44,31.05,-68.62,-53.08,0.032,-0.045,108.40,111.41,0.298,0.253,0.038,0.037,0.019,0.019,0.213,0.238
100,146.380,145.735,1.295,1.290,92.66,93.02,67.18,62.02,32.82,37.98,12.64,8.75,58.62,66.25,28.74,25.00,33.86,33.86,1.070,1.160,0.882,0.918,391.1,330.9,3.294,2.949,-1.7,-2.1,29.61,31.93,-66.88,-44.17,0.032,0.027,108.33,107.42,0.298,0.227,0.043,0.042,0.023,0.032,0.207,0.242
101,147.620,146.990,1.240,1.255,96.77,95.62,65.73,67.73,34.27,32.27,12.27,13.53,56.44,57.65,31.29,28.82,31.17,31.17,1.181,1.048,0.963,0.870,375.1,350.4,3.433,3.173,0.2,1.6,26.68,27.85,-72.22,-64.84,0.016,0.021,107.73,106.95,0.329,0.290,0.062,0.033,0.037,,0.210,0.190
102,148.840,148.225,1.220,1.235,98.36,97.17,65.98,65.59,34.02,34.41,11.18,11.11,57.76,61.11,31.06,27.78,30.08,30.08,1.149,1.245,0.940,0.999,391.8,361.4,3.521,3.507,-3.7,-0.5,28.30,29.18,-71.35,-63.35,0.042,-0.022,107.92,106.11,0.317,0.315,0.051,0.063,0.028,0.028,0.212,0.220
103,150.135,149.505,1.295,1.280,92.66,93.75,66.80,62.50,33.20,37.50,14.45,12.50,55.49,59.38,30.06,28.12,31.17,31.17,1.105,1.133,0.898,0.927,377.6,324.0,3.300,3.047,0.7,-1.7,26.31,28.35,-70.51,-61.41,0.026,-0.032,107.41,109.45,0.303,0.292,0.042,0.048,0.019,0.016,0.185,0.216
104,151.395,150.740,1.260,1.235,95.24,97.17,65.87,65.99,34.13,34.01,9.04,11.66,60.24,61.96,30.72,26.38,31.75,31.75,1.027,1.094,0.837,0.966,376.3,347.2,3.174,3.289,5.8,0.4,27.83,23.19,-66.75,-58.28,-0.032,-0.035,112.75,106.62,0.296,0.289,0.042,0.059,0.026,0.022,0.207,0.171
105,152.715,152.000,1.320,1.260,90.91,95.24,61.74,65.87,38.26,34.13,9.82,9.04,60.12,64.46,30.06,26.51,31.58,31.58,1.150,0.995,0.892,0.822,297.3,363.4,3.035,3.152,-4.3,0.4,19.84,25.32,-64.60,-67.36,0.061,-0.020,105.65,113.36,0.286,0.327,0.035,0.064,0.018,0.001,0.155,0.161
106,153.860,153.330,1.145,1.330,104.80,90.23,75.11,69.55,24.89,30.45,9.30,8.11,61.63,65.95,29.07,25.95,72.99,72.99,0.660,0.769,0.551,0.446,305.2,336.9,,2.857,2.0,2.8,1.34,24.51,-60.22,-57.23,-0.014,-0.051,104.21,121.79,0.261,0.274,,0.035,,0.008,,0.167
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
