Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
62,117.165,117.760,1.235,1.205,97.17,99.59,64.78,57.68,35.22,42.32,8.75,9.35,60.62,66.91,30.62,23.74,20.58,20.58,1.109,1.207,0.927,1.011,403.3,355.3,3.227,3.346,-2.8,-0.1,23.03,23.85,-74.75,-71.62,0.045,-0.056,106.79,106.56,0.268,0.266,0.059,0.061,0.038,0.038,0.149,0.137
63,118.380,118.985,1.215,1.225,98.77,97.96,62.55,63.27,37.45,36.73,9.21,9.03,59.21,59.35,31.58,31.61,26.61,26.61,1.103,1.101,0.888,0.898,405.5,363.5,3.148,3.101,2.0,1.2,24.03,21.71,-75.99,-70.69,0.048,-0.018,107.62,106.30,0.253,0.266,0.044,0.060,0.029,0.041,0.161,0.139
64,119.620,120.250,1.240,1.265,96.77,94.86,62.90,62.85,37.10,37.15,12.82,8.81,57.69,61.01,29.49,30.19,26.69,26.69,1.105,1.170,0.921,0.937,357.6,339.1,3.056,3.095,1.3,1.6,22.20,23.69,-71.55,-69.23,0.039,-0.062,105.43,105.97,0.257,0.254,0.053,0.050,0.026,0.032,0.131,0.139
65,120.875,121.490,1.255,1.240,95.62,96.77,64.14,57.26,35.86,42.74,10.56,11.27,59.63,64.79,29.81,23.94,20.55,20.55,1.090,0.989,0.894,0.813,377.1,354.5,3.038,2.874,-2.8,-0.9,20.08,23.58,-73.76,-66.19,0.050,-0.036,106.12,110.63,0.267,0.256,0.060,0.060,0.037,0.044,0.134,0.144
66,122.140,122.765,1.265,1.275,94.86,94.12,62.45,63.14,37.55,36.86,6.33,11.80,62.66,59.63,31.01,28.57,20.78,20.78,1.149,1.070,0.905,0.857,389.7,349.8,2.998,2.946,0.8,-0.1,21.70,24.30,-72.81,-68.10,0.057,-0.050,105.76,106.38,0.261,0.263,0.055,0.063,0.036,0.042,0.150,0.134
67,123.415,124.040,1.275,1.275,94.12,94.12,57.65,63.92,42.35,36.08,10.20,11.04,67.35,58.90,22.45,30.06,26.07,26.07,1.107,1.148,0.871,0.901,366.0,343.2,2.949,3.101,0.7,3.2,21.00,23.84,-71.69,-68.23,0.045,-0.017,106.06,105.37,0.260,0.261,0.058,0.059,0.038,0.037,0.145,0.132
68,124.700,125.330,1.285,1.290,93.39,93.02,61.87,60.08,38.13,39.92,8.81,9.68,61.64,67.10,29.56,23.23,22.71,22.71,1.113,1.098,0.879,0.877,362.6,378.1,2.950,2.994,1.7,-1.3,21.45,24.25,-69.86,-67.79,0.026,-0.052,107.51,106.38,0.256,0.254,0.056,0.054,0.035,0.038,0.154,0.138
69,125.955,126.565,1.255,1.235,95.62,97.17,63.75,63.16,36.25,36.84,11.25,10.26,60.00,59.62,28.75,30.13,27.20,27.20,1.150,1.040,0.947,0.858,345.7,369.4,3.153,3.000,-0.9,1.7,19.33,24.11,-75.13,-71.97,0.034,-0.034,104.85,108.72,0.262,0.247,0.053,0.040,0.031,0.023,0.125,0.141
70,127.150,127.795,1.195,1.230,100.42,97.56,65.27,62.60,34.73,37.40,8.33,9.74,61.54,59.74,30.13,30.52,29.18,29.18,1.106,1.133,0.906,0.922,356.2,364.7,3.136,3.204,0.3,0.3,21.09,24.46,-74.15,-70.81,0.034,-0.016,106.57,106.93,0.258,0.284,0.050,0.076,0.023,0.045,0.136,0.138
71,128.435,129.055,1.285,1.260,93.39,95.24,64.98,63.49,35.02,36.51,11.98,10.00,57.49,60.62,30.54,29.38,26.59,26.59,1.102,1.096,0.886,0.885,387.6,353.1,3.067,3.064,-0.2,-1.2,21.72,23.30,-75.25,-69.26,0.035,-0.031,106.87,106.17,0.265,0.260,0.054,0.055,0.028,0.031,0.157,0.126
72,129.695,130.305,1.260,1.250,95.24,96.00,63.10,58.40,36.90,41.60,9.43,11.64,59.75,64.38,30.82,23.97,16.19,16.19,1.131,1.137,0.923,0.913,372.4,355.8,3.027,3.113,1.3,1.8,21.03,24.56,-72.07,-70.81,0.046,-0.038,106.69,106.26,0.255,0.266,0.050,0.062,0.028,0.040,0.136,0.150
73,130.930,131.540,1.235,1.235,97.17,97.17,58.30,63.97,41.70,36.03,9.72,10.13,67.36,60.13,22.92,29.75,26.80,26.80,1.162,1.082,0.944,0.889,350.8,352.3,3.190,3.037,-8.0,1.0,23.86,21.16,-72.92,-70.42,0.056,-0.054,105.49,106.55,0.259,0.256,0.054,0.052,0.033,0.033,0.144,0.121
74,132.180,132.805,1.250,1.265,96.00,94.86,62.40,64.03,37.60,35.97,9.62,8.64,59.62,60.49,30.77,30.86,28.57,28.57,1.103,1.144,0.888,0.903,382.7,368.5,3.051,3.099,2.4,-1.8,23.40,23.77,-71.57,-70.34,0.042,-0.036,107.64,104.82,0.254,0.267,0.050,0.060,0.039,0.033,0.160,0.119
75,133.440,134.055,1.260,1.250,95.24,96.00,64.68,63.20,35.32,36.80,9.82,10.76,60.74,59.49,29.45,29.75,26.61,26.61,1.131,1.116,0.918,0.922,362.5,327.9,3.182,3.087,1.5,3.6,21.57,24.65,-74.48,-68.66,0.033,-0.061,106.32,107.04,0.261,0.275,0.051,0.072,0.028,0.041,0.143,0.134
76,134.680,135.275,1.240,1.220,96.77,98.36,63.71,63.93,36.29,36.07,8.23,9.62,62.66,60.26,29.11,30.13,28.69,28.69,1.085,1.013,0.888,0.851,394.3,345.2,3.050,3.006,-0.6,0.2,19.31,20.85,-74.92,-68.85,0.048,-0.030,106.61,105.61,0.263,0.259,0.053,0.058,0.032,0.034,0.134,0.114
77,135.900,136.495,1.220,1.220,98.36,98.36,64.75,63.11,35.25,36.89,8.23,9.74,62.03,61.04,29.75,29.22,25.00,25.00,1.047,1.190,0.893,0.969,382.9,381.0,2.981,3.266,2.4,-0.5,20.40,23.44,-70.50,-71.34,0.041,-0.044,106.52,105.52,0.270,0.274,0.067,0.068,0.038,0.044,0.131,0.145
78,137.120,137.750,1.220,1.255,98.36,95.62,61.89,63.75,38.11,36.25,7.95,10.00,60.93,61.25,31.13,28.75,26.51,26.51,1.162,1.186,0.950,0.962,420.0,340.5,3.225,3.266,-1.0,1.5,22.49,24.38,-72.53,-66.97,0.047,-0.049,106.07,105.97,0.258,0.265,0.052,0.065,0.028,0.039,0.150,0.140
