Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
45,95.500,96.130,1.240,1.260,96.77,95.24,63.71,62.30,36.29,37.70,12.03,9.55,57.59,61.15,30.38,29.30,25.40,25.40,1.101,1.082,0.900,0.892,367.9,341.6,3.141,3.040,-1.5,2.2,22.83,22.15,-73.10,-67.46,0.044,-0.045,108.42,108.44,0.263,0.258,0.057,0.067,0.043,0.035,0.143,0.168
46,96.740,97.365,1.240,1.235,96.77,97.17,63.71,62.75,36.29,37.25,10.13,9.03,62.66,60.65,27.22,30.32,27.94,27.94,1.075,1.076,0.899,0.868,337.6,365.2,3.065,3.055,-0.6,-1.8,22.71,25.48,-70.16,-67.57,0.043,-0.052,108.49,108.89,0.260,0.245,0.067,0.055,0.055,0.031,0.141,0.181
47,97.975,98.595,1.235,1.230,97.17,97.56,65.18,66.26,34.82,33.74,9.94,10.43,61.49,60.74,28.57,28.83,31.40,31.40,1.204,1.276,0.987,1.026,352.5,347.3,3.264,3.343,-0.8,-0.5,21.03,26.58,-69.75,-67.93,0.060,-0.075,105.65,105.64,0.260,0.249,0.059,0.062,0.038,0.038,0.125,0.179
48,99.265,99.900,1.290,1.305,93.02,91.95,63.57,64.37,36.43,35.63,12.80,13.69,59.15,58.33,28.05,27.98,28.00,28.00,1.131,1.155,0.899,0.920,352.7,325.8,3.091,3.105,0.8,0.2,23.40,23.81,-69.70,-66.86,0.054,-0.050,105.98,105.55,0.242,0.256,0.046,0.068,0.036,0.036,0.134,0.168
49,100.515,101.130,1.250,1.230,96.00,97.56,65.20,64.23,34.80,35.77,7.98,11.39,64.42,56.96,27.61,31.65,28.00,28.00,1.149,1.042,0.945,0.850,366.5,330.9,3.252,2.888,-1.8,1.0,19.07,23.05,-76.37,-70.21,0.051,-0.034,105.33,107.64,0.270,0.267,0.060,0.071,0.036,0.042,0.111,0.164
50,101.765,102.375,1.250,1.245,96.00,96.39,63.20,59.44,36.80,40.56,8.86,10.81,62.66,66.22,28.48,22.97,22.67,22.67,1.120,1.094,0.904,0.901,340.2,349.0,3.054,3.098,5.4,2.9,18.96,23.91,-71.57,-66.19,0.045,-0.049,105.06,106.20,0.255,0.245,0.054,0.059,0.035,0.032,0.123,0.162
51,103.000,103.630,1.235,1.255,97.17,95.62,63.56,58.96,36.44,41.04,7.64,10.14,61.78,66.22,30.57,23.65,22.80,22.80,1.032,1.026,0.848,0.819,338.4,531.3,2.945,2.899,-2.3,-2.8,19.28,25.14,-71.61,-80.65,0.066,-0.033,107.29,109.98,0.267,0.288,0.067,0.073,0.045,0.039,0.123,0.200
52,104.250,104.860,1.250,1.230,96.00,97.56,64.00,58.54,36.00,41.46,8.12,12.50,63.12,64.58,28.75,22.92,22.63,22.63,1.012,1.066,0.838,0.887,349.3,353.6,2.937,2.944,1.5,2.1,18.81,23.99,-73.33,-64.51,0.036,-0.044,108.29,108.75,0.264,0.256,0.059,0.075,0.036,0.052,0.118,0.191
53,105.465,106.065,1.215,1.205,98.77,99.59,64.61,59.75,35.39,40.25,6.37,11.81,63.69,64.58,29.94,23.61,20.88,20.88,1.073,1.016,0.889,0.827,354.4,333.4,3.068,2.771,-0.9,-2.8,22.23,24.75,-73.14,-67.45,0.052,-0.031,106.16,107.17,0.262,0.261,0.057,0.074,0.034,0.048,0.126,0.161
54,106.710,107.345,1.245,1.280,96.39,93.75,59.84,58.98,40.16,41.02,10.07,14.57,67.11,62.25,22.82,23.18,22.09,22.09,1.123,0.915,0.905,0.770,326.3,331.8,3.147,2.703,-1.0,1.7,21.10,22.84,-69.84,-66.52,0.043,-0.026,105.14,113.55,0.256,0.250,0.060,0.068,0.039,0.051,0.126,0.186
