Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
30,99.920,100.515,1.225,1.250,97.96,96.00,58.78,65.60,41.22,34.40,9.72,12.80,66.67,60.98,23.61,26.22,29.24,29.24,1.030,1.039,0.860,0.868,389.1,348.7,3.033,3.025,1.5,2.5,20.33,21.62,-73.37,-68.16,0.019,-0.023,107.20,105.96,0.261,0.262,0.053,0.069,0.030,0.034,0.112,0.131
31,101.100,101.685,1.180,1.170,101.69,102.56,65.68,66.67,34.32,33.33,7.74,10.26,61.29,62.18,30.97,27.56,33.47,33.47,1.233,1.095,1.019,0.915,390.3,362.4,3.296,3.180,-0.5,1.5,19.73,22.96,-74.54,-69.97,0.042,-0.046,103.30,105.99,0.264,0.266,0.053,0.066,0.025,0.027,0.098,0.139
32,102.310,102.900,1.210,1.215,99.17,98.77,65.70,67.90,34.30,32.10,11.32,14.55,60.38,58.18,28.30,27.27,34.31,34.31,1.110,1.057,0.915,0.876,353.2,352.0,3.115,3.069,0.6,-1.5,23.94,22.52,-70.62,-70.19,0.035,-0.017,105.44,105.42,0.262,0.264,0.055,0.067,0.025,0.035,0.112,0.146
33,103.505,104.110,1.195,1.210,100.42,99.17,66.95,62.40,33.05,37.60,14.38,14.57,57.50,64.24,28.12,21.19,28.46,28.46,1.075,1.135,0.923,0.955,376.7,348.9,3.142,3.237,-1.2,0.9,20.91,22.49,-72.87,-70.06,0.018,-0.050,106.19,106.84,0.269,0.268,0.058,0.072,0.029,0.041,0.106,0.154
34,104.770,105.385,1.265,1.275,94.86,94.12,64.43,65.88,35.57,34.12,12.88,13.10,57.67,59.52,29.45,27.38,30.25,30.25,0.960,1.073,0.824,0.884,380.2,346.7,2.849,3.042,1.4,2.5,21.10,24.49,-74.02,-71.38,0.033,-0.033,111.18,106.61,0.263,0.272,0.055,0.071,0.028,0.041,0.114,0.161
35,105.960,106.545,1.190,1.160,100.84,103.45,66.81,65.09,33.19,34.91,7.55,10.60,61.01,60.93,31.45,28.48,32.66,32.66,1.042,1.130,0.860,0.928,400.9,336.5,3.094,3.070,-2.4,-1.7,21.09,22.59,-75.78,-64.98,0.027,-0.054,106.89,106.62,0.272,0.249,0.057,0.066,0.031,0.045,0.112,0.159
36,107.200,107.760,1.240,1.215,96.77,98.77,65.32,62.14,34.68,37.86,11.73,16.56,59.88,62.25,28.40,21.19,20.33,20.33,1.045,1.113,0.879,0.945,362.4,351.8,3.053,3.138,-1.2,-0.1,21.55,22.47,-73.73,-66.69,0.042,-0.032,106.21,106.97,0.265,0.252,0.057,0.063,0.030,0.037,0.114,0.154
37,108.405,109.000,1.205,1.240,99.59,96.77,58.51,60.89,41.49,39.11,8.51,15.23,68.79,62.91,22.70,21.85,22.45,22.45,1.071,1.065,0.904,0.897,373.1,345.6,3.121,3.024,0.7,-0.5,22.46,23.10,-72.85,-69.21,0.037,-0.055,108.87,106.38,0.266,0.262,0.059,0.068,0.026,0.042,0.108,0.153
38,109.630,110.180,1.225,1.180,97.96,101.69,62.04,61.86,37.96,38.14,10.53,10.96,60.53,65.75,28.95,23.29,26.97,26.97,0.988,0.994,0.832,0.836,372.3,318.1,2.969,2.842,-1.7,-0.9,21.49,19.77,-71.31,-69.27,0.029,-0.039,108.78,108.85,0.272,0.259,0.066,0.065,0.042,0.045,0.122,0.141
39,110.835,111.385,1.205,1.205,99.59,99.59,64.32,67.22,35.68,32.78,9.03,13.58,61.29,59.26,29.68,27.16,30.86,30.86,0.902,1.050,0.790,0.865,377.3,342.6,2.826,3.061,1.1,2.2,20.33,20.91,-72.88,-67.20,0.033,-0.021,111.61,106.11,0.259,0.259,0.050,0.066,0.013,0.039,0.094,0.139
