Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
29,58.360,58.980,1.100,1.155,109.09,103.90,67.73,58.44,32.27,41.56,14.09,7.41,60.40,55.56,25.50,37.04,19.41,19.41,0.945,1.221,0.826,0.952,328.5,391.0,3.211,3.201,-3.0,5.4,25.26,24.24,-48.13,-73.26,0.019,-0.110,112.40,107.42,0.259,0.315,0.060,0.064,0.040,0.037,0.140,0.138
30,59.545,60.190,1.185,1.210,101.27,99.17,59.92,59.92,40.08,40.08,12.68,10.34,64.08,57.24,23.24,32.41,27.05,27.05,1.137,1.008,0.967,0.954,336.3,374.8,,,-0.5,-5.6,27.12,18.49,-56.57,-67.56,0.047,-0.061,107.91,116.96,0.265,0.264,,,,,,
31,60.765,61.375,1.220,1.185,98.36,101.27,66.80,54.43,33.20,45.57,7.36,7.75,66.26,65.89,26.38,26.36,18.18,18.18,0.899,1.016,0.856,1.018,311.0,278.1,2.936,2.718,1.6,0.2,25.62,20.30,-50.19,-56.79,0.029,-0.054,109.66,110.15,0.251,0.285,0.056,0.078,0.038,0.048,0.153,0.134
32,61.920,62.590,1.155,1.215,103.90,98.77,64.94,59.26,35.06,40.74,9.33,12.50,57.33,50.00,33.33,37.50,29.32,29.32,1.260,1.239,0.987,0.902,341.5,416.8,3.546,3.221,-0.8,-1.0,29.53,32.41,-64.85,-73.61,0.038,-0.054,108.16,116.78,0.339,0.323,0.099,0.071,0.061,0.058,0.190,0.235
33,63.165,63.775,1.245,1.185,96.39,101.27,69.08,60.76,30.92,39.24,8.72,9.03,59.88,59.03,31.40,31.94,22.75,22.75,1.282,1.110,1.047,1.263,473.7,376.5,3.495,3.101,-0.1,-3.7,32.73,7.37,-71.74,-68.18,0.017,-0.054,106.70,103.84,0.275,0.261,0.025,0.042,0.011,0.042,0.214,0.077
34,64.330,64.940,1.165,1.165,103.00,103.00,62.66,60.09,37.34,39.91,17.12,7.14,63.01,56.43,19.86,36.43,22.55,22.55,0.922,1.266,0.841,0.937,289.1,365.8,2.753,3.465,1.1,12.8,28.82,22.51,-45.16,-75.33,-0.010,-0.050,112.32,111.33,0.238,0.376,0.051,0.126,0.042,0.056,0.155,0.142
35,65.505,66.135,1.175,1.195,102.13,100.42,62.13,60.25,37.87,39.75,13.70,7.64,54.11,59.03,32.19,33.33,26.58,26.58,1.077,1.123,0.925,0.969,374.2,385.2,3.213,3.048,0.7,-6.0,31.98,25.19,-62.22,-69.66,0.047,-0.063,112.87,108.99,0.300,0.285,0.071,0.041,0.048,0.039,0.197,0.183
36,66.690,67.245,1.185,1.110,101.27,108.11,66.67,64.41,33.33,35.59,12.03,8.39,57.59,60.14,30.38,31.47,29.39,29.39,1.132,1.181,1.028,1.120,351.3,411.0,3.348,3.382,1.5,3.9,23.04,24.03,-61.91,-73.80,0.049,-0.080,109.27,108.04,0.307,0.285,0.074,0.040,0.038,0.029,0.142,0.165
37,67.830,68.415,1.140,1.170,105.26,102.56,64.04,62.82,35.96,37.18,6.85,8.16,63.01,61.22,30.14,30.61,27.63,27.63,1.102,1.020,0.952,1.007,373.0,400.5,3.272,3.132,-0.8,-6.4,29.40,15.80,-65.01,-73.50,-0.016,-0.050,108.20,111.83,0.320,0.324,0.078,0.073,0.039,0.050,0.186,0.125
38,68.970,69.535,1.140,1.120,105.26,107.14,65.79,63.84,34.21,36.16,11.33,9.79,60.67,62.24,28.00,27.97,27.93,27.93,0.947,1.136,0.900,1.071,345.2,390.2,3.018,3.326,-2.3,-0.0,25.43,15.56,-59.17,-71.61,0.053,-0.039,113.22,105.61,0.293,0.305,0.066,0.058,0.034,0.028,0.153,0.102
