Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
28,105.745,105.135,1.170,1.200,102.56,100.00,62.82,63.75,37.18,36.25,8.16,6.54,62.59,60.13,29.25,33.33,27.23,27.23,1.223,1.276,1.108,1.064,349.3,373.4,3.538,3.383,-4.5,0.4,17.15,27.40,-73.60,-69.91,0.017,-0.052,108.36,107.64,0.274,0.286,0.038,0.048,0.019,0.038,0.150,0.204
29,106.915,106.310,1.170,1.175,102.56,102.13,61.97,64.26,38.03,35.74,7.59,8.61,60.69,58.94,31.72,32.45,22.59,22.59,1.243,1.177,1.054,1.177,376.5,361.4,3.724,3.340,4.0,-1.6,19.56,25.51,-77.52,-66.95,0.025,-0.047,110.20,108.88,0.269,0.284,0.024,0.053,,0.039,0.145,0.176
30,108.110,107.505,1.195,1.195,100.42,100.42,61.92,59.83,38.08,40.17,6.76,7.69,47.97,56.64,45.27,35.66,22.94,22.94,1.217,1.463,1.098,1.183,382.8,383.0,3.743,3.672,-3.4,3.4,25.97,30.88,-80.81,-73.85,-0.028,-0.049,113.97,106.11,0.330,0.300,0.079,0.051,,0.036,0.151,0.210
31,109.235,108.660,1.125,1.155,106.67,103.90,62.22,62.34,37.78,37.66,7.14,6.94,62.14,58.33,30.71,34.72,25.99,25.99,1.206,1.351,1.088,1.212,359.8,395.1,3.418,3.721,0.8,-0.1,25.28,27.46,-71.46,-73.29,0.048,-0.041,111.43,105.82,0.267,0.287,0.032,0.038,0.022,0.014,0.198,0.179
32,110.415,109.795,1.180,1.135,101.69,105.73,61.86,63.44,38.14,36.56,9.59,14.58,60.27,51.39,30.14,34.03,24.68,24.68,1.296,1.086,1.266,0.992,348.9,369.1,3.594,3.198,0.2,2.7,19.55,28.44,-72.83,-71.93,0.065,-0.088,109.89,117.52,0.257,0.308,0.023,0.066,0.014,0.059,0.166,0.225
33,111.525,110.970,1.110,1.175,108.11,102.13,64.41,62.98,35.59,37.02,6.99,11.49,61.54,52.70,31.47,35.81,28.38,28.38,1.265,1.294,1.230,1.019,352.5,382.3,3.792,3.515,1.5,-2.9,17.48,29.61,-73.66,-71.87,0.024,-0.055,107.42,106.87,0.289,0.296,0.048,0.048,0.005,0.025,0.123,0.202
34,112.735,112.115,1.210,1.145,99.17,104.80,61.98,62.88,38.02,37.12,7.33,7.64,60.67,59.03,32.00,33.33,24.38,24.38,1.357,1.233,1.108,1.265,378.7,364.3,3.780,3.462,-0.8,3.4,21.93,29.30,-74.95,-69.19,0.028,-0.050,107.77,109.47,0.320,0.289,0.077,0.051,0.026,0.042,0.173,0.222
35,113.930,113.325,1.195,1.210,100.42,99.17,61.92,62.40,38.08,37.60,6.76,9.93,64.19,56.95,29.05,33.11,25.33,25.33,1.264,1.155,1.068,1.036,355.9,370.0,3.582,3.399,-0.5,-0.2,18.50,24.56,-70.21,-70.12,0.013,-0.057,104.88,112.46,0.265,0.281,0.038,0.041,,0.025,0.132,0.164
36,115.080,114.470,1.150,1.145,104.35,104.80,61.74,65.07,38.26,34.93,7.04,8.05,59.86,57.05,33.10,34.90,25.74,25.74,1.162,1.011,0.969,0.967,345.1,385.9,3.473,3.190,2.4,0.2,16.80,25.80,-73.22,-72.86,0.054,-0.034,108.76,115.66,0.305,0.282,0.070,0.034,0.022,0.015,0.134,0.166
37,116.265,115.655,1.185,1.185,101.27,101.27,62.87,62.87,37.13,37.13,8.72,6.71,59.06,61.07,32.21,32.21,26.92,26.92,1.264,1.236,1.156,1.037,326.4,382.8,3.664,3.401,-0.9,-2.4,20.20,20.63,-70.98,-72.13,0.028,-0.047,105.64,106.45,0.277,0.269,0.046,0.025,0.017,0.011,0.157,0.143
