Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
93,157.650,157.060,1.225,1.260,97.96,95.24,65.31,64.29,34.69,35.71,11.25,9.88,60.62,61.73,28.12,28.40,28.63,28.63,1.098,1.168,0.912,0.868,389.1,339.8,3.399,3.246,1.3,1.5,31.96,29.00,-71.30,-64.55,0.060,-0.075,114.38,109.98,0.320,0.321,0.048,0.062,0.021,0.015,0.230,0.174
94,158.930,158.300,1.280,1.240,93.75,96.77,66.02,62.90,33.98,37.10,15.98,9.62,55.03,60.90,28.99,29.49,30.77,30.77,1.084,1.038,0.927,0.941,377.3,323.4,3.339,,1.1,0.2,27.83,30.33,-68.99,-63.54,0.047,-0.054,111.79,116.61,0.328,0.264,0.064,,0.034,,0.210,
95,160.150,159.535,1.220,1.235,98.36,97.17,65.16,65.99,34.84,34.01,11.32,12.88,59.75,58.90,28.93,28.22,29.41,29.41,1.095,1.081,0.926,0.923,376.5,377.7,3.410,3.304,-3.0,1.2,25.26,33.16,-70.07,-65.38,0.042,-0.075,107.80,115.95,0.317,0.304,0.046,0.048,0.004,0.037,0.170,0.246
96,161.440,160.810,1.290,1.275,93.02,94.12,66.67,62.75,33.33,37.25,10.47,11.88,61.63,60.62,27.91,27.50,30.20,30.20,1.090,1.328,0.880,1.071,364.9,313.3,3.366,3.317,1.9,-2.0,26.36,31.80,-70.00,-63.36,0.022,0.057,109.51,107.94,0.312,0.279,0.042,0.033,0.001,0.025,0.168,0.252
97,162.680,162.035,1.240,1.225,96.77,97.96,64.11,65.31,35.89,34.69,10.06,11.25,61.64,61.25,28.30,27.50,30.40,30.40,1.146,1.188,0.943,1.050,371.0,370.7,3.356,3.352,1.9,2.9,27.60,28.38,-67.33,-66.01,0.059,0.016,109.03,106.48,0.308,0.296,0.048,0.042,0.019,0.027,0.207,0.220
98,163.910,163.285,1.230,1.250,97.56,96.00,65.45,66.00,34.55,34.00,11.18,13.94,58.39,56.97,30.43,29.09,31.73,31.73,1.127,1.119,0.980,0.921,388.1,376.4,3.416,3.400,-1.0,-3.0,26.60,26.09,-68.77,-68.59,0.034,0.046,107.88,110.05,0.314,0.301,0.049,0.038,0.020,,0.197,0.170
99,165.170,164.530,1.260,1.245,95.24,96.39,64.68,65.86,35.32,34.14,11.04,10.98,60.12,60.37,28.83,28.66,29.41,29.41,1.114,1.107,0.921,0.922,368.0,357.3,3.403,3.351,-0.5,-0.3,27.62,27.44,-68.94,-66.16,0.042,-0.022,109.26,111.16,0.306,0.332,0.039,0.075,0.001,0.038,0.184,0.214
100,166.425,165.805,1.255,1.275,95.62,94.12,66.53,64.31,33.47,35.69,10.78,10.98,59.88,62.80,29.34,26.22,29.84,29.84,1.140,1.123,0.925,0.856,387.3,330.7,3.486,3.244,0.2,1.1,26.80,28.75,-73.17,-61.08,0.029,-0.035,108.81,110.70,0.321,0.315,0.046,0.071,0.003,0.035,0.179,0.211
101,167.660,167.045,1.235,1.240,97.17,96.77,65.59,63.71,34.41,36.29,10.49,6.33,60.49,63.92,29.01,29.75,29.96,29.96,1.090,1.254,0.939,1.085,385.6,357.4,3.420,3.400,-0.3,3.4,27.65,29.56,-69.32,-68.44,0.026,-0.056,108.64,108.14,0.313,0.315,0.044,0.052,0.009,0.034,0.184,0.249
102,168.910,168.280,1.250,1.235,96.00,97.17,65.60,64.37,34.40,35.63,10.37,10.69,60.37,59.75,29.27,29.56,31.17,31.17,1.112,1.146,0.913,0.993,372.5,343.3,3.336,3.292,0.7,-3.4,28.43,27.80,-70.10,-63.33,0.046,-0.023,109.23,108.93,0.305,0.274,0.035,0.027,0.003,0.000,0.198,0.183
103,170.165,169.515,1.255,1.235,95.62,97.17,64.14,65.99,35.86,34.01,9.94,12.27,60.87,58.90,29.19,28.83,30.08,30.08,1.117,1.200,0.933,0.962,346.3,373.6,3.295,3.441,-0.0,4.3,25.08,26.25,-69.43,-73.39,0.028,0.014,107.19,105.07,0.310,0.331,0.043,0.055,0.006,0.016,0.181,0.187
104,171.425,170.795,1.260,1.280,95.24,93.75,65.87,65.23,34.13,34.77,8.43,11.38,63.25,61.08,28.31,27.54,30.68,30.68,1.106,1.063,0.915,0.900,361.6,332.0,3.366,3.197,2.6,-1.2,24.88,26.03,-72.37,-67.33,0.038,0.042,108.49,115.16,0.318,0.327,0.043,0.067,0.004,0.021,0.177,0.184
