Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
71,116.170,115.675,1.115,1.170,107.62,102.56,63.23,58.55,36.77,41.45,9.93,7.30,60.28,60.58,29.79,32.12,17.37,17.37,1.066,1.058,0.983,0.986,372.4,317.5,3.537,3.322,-0.8,2.5,20.65,17.71,-63.51,-62.07,0.026,-0.057,106.59,108.56,0.264,0.264,0.067,0.071,0.041,0.031,0.135,0.102
72,117.295,116.740,1.125,1.065,106.67,112.68,61.78,55.87,38.22,44.13,9.35,8.40,60.43,63.03,30.22,28.57,24.56,24.56,1.036,1.092,0.927,0.991,344.5,281.4,3.327,3.195,-2.2,-0.9,19.26,16.22,-62.57,-52.88,0.068,-0.045,108.20,104.66,0.267,0.215,0.068,0.042,0.036,0.026,0.126,0.105
73,118.430,117.880,1.135,1.140,105.73,105.26,62.11,62.28,37.89,37.72,9.93,7.04,58.87,59.86,31.21,33.10,24.00,24.00,1.037,1.082,0.960,0.972,359.3,340.4,3.347,3.325,2.2,2.9,22.33,15.83,-63.77,-69.59,0.036,-0.070,107.63,105.95,0.264,0.254,0.062,0.050,0.025,0.029,0.124,0.100
74,119.555,119.005,1.125,1.125,106.67,106.67,61.78,62.22,38.22,37.78,10.07,7.14,60.43,59.29,29.50,33.57,25.00,25.00,1.014,1.085,0.909,0.975,359.1,350.5,3.370,3.318,1.3,-0.3,19.99,17.45,-64.30,-70.43,0.025,-0.062,108.87,105.47,0.268,0.266,0.065,0.062,0.023,0.029,0.111,0.107
75,120.690,120.125,1.135,1.120,105.73,107.14,61.23,63.39,38.77,36.61,8.63,7.04,63.31,59.86,28.06,33.10,23.66,23.66,1.047,1.017,0.969,0.931,368.6,354.9,3.482,3.294,0.6,1.4,22.42,17.80,-61.21,-70.17,0.032,-0.047,107.82,106.61,0.255,0.260,0.058,0.058,0.025,0.031,0.125,0.115
76,121.805,121.245,1.115,1.120,107.62,107.14,61.88,62.95,38.12,37.05,8.70,7.09,57.97,58.87,33.33,34.04,23.87,23.87,1.065,1.012,0.982,0.940,347.8,355.6,3.485,3.239,-4.4,1.1,21.52,15.95,-66.44,-74.48,0.036,-0.059,109.26,106.37,0.265,0.260,0.061,0.048,0.031,0.023,0.133,0.103
77,122.930,122.355,1.125,1.110,106.67,108.11,61.78,62.16,38.22,37.84,8.63,7.25,58.99,57.97,32.37,34.78,24.78,24.78,0.998,1.048,0.894,0.971,349.3,354.3,3.310,3.265,3.2,-0.7,21.16,15.38,-61.71,-71.95,0.029,-0.070,109.31,107.62,0.268,0.272,0.070,0.063,0.034,0.034,0.133,0.103
78,124.055,123.485,1.125,1.130,106.67,106.19,61.78,62.83,38.22,37.17,9.35,7.04,61.15,59.86,29.50,33.10,25.43,25.43,0.925,1.040,0.844,0.948,368.2,353.3,3.236,3.319,-0.9,1.8,23.78,17.06,-61.90,-73.53,0.044,-0.057,113.19,106.96,0.249,0.278,0.050,0.065,0.017,0.032,0.128,0.104
79,125.180,124.645,1.125,1.160,106.67,103.45,64.44,62.50,35.56,37.50,9.66,6.90,59.31,61.38,31.03,31.72,25.45,25.45,1.042,0.986,0.988,0.915,389.5,336.6,3.549,3.058,-2.3,-1.7,21.84,15.09,-67.04,-70.95,0.046,-0.043,108.93,108.36,0.285,0.272,0.080,0.069,0.048,0.038,0.141,0.106
80,126.305,125.745,1.125,1.100,106.67,109.09,61.78,61.82,38.22,38.18,10.07,7.35,60.43,55.15,29.50,37.50,25.22,25.22,1.107,0.908,0.959,0.868,336.5,349.3,3.552,3.121,2.3,-0.9,24.50,17.25,-59.01,-76.16,0.045,-0.074,106.21,117.38,0.252,0.301,0.058,0.079,0.032,0.048,0.141,0.120
