Cycle_ind,HS_L,HS_R,gct_L,gct_R,cadence_L,cadence_R,stance_L,stance_R,swing_L,swing_R,LDr_L,LDr_R,FFr_L,FFr_R,PUr_L,PUr_R,DS_L,DS_R,slength_L,slength_R,speed_L,speed_R,peakswing_L,peakswing_R,mtcS_L,mtcS_R,TA_L,TA_R,HSP_L,HSP_R,TOP_L,TOP_R,swidth_L,swidth_R,PathLength_L,PathLength_R,maxHC_L,maxHC_R,maxTC1_L,maxTC1_R,minTC_L,minTC_R,maxTC2_L,maxTC2_R
16,57.615,57.050,1.125,1.115,106.67,107.62,60.44,64.13,39.56,35.87,8.82,6.99,61.03,57.34,30.15,35.66,24.34,24.34,1.129,0.988,1.021,0.912,333.0,369.4,3.312,3.319,-1.8,4.8,20.52,17.62,-56.37,-70.73,0.038,-0.023,105.54,106.49,0.238,0.253,0.063,0.046,0.042,0.023,0.148,0.106
17,58.760,58.180,1.145,1.130,104.80,106.19,61.14,63.72,38.86,36.28,10.00,6.94,59.29,56.94,30.71,36.11,23.01,23.01,0.984,0.928,0.899,0.848,328.3,341.9,3.139,3.083,3.1,-0.1,18.09,19.66,-59.68,-72.60,0.054,-0.047,109.83,109.24,0.254,0.256,0.071,0.048,0.049,0.030,0.137,0.113
18,59.870,59.310,1.110,1.130,108.11,106.19,60.36,62.39,39.64,37.61,7.46,8.51,60.45,55.32,32.09,36.17,23.66,23.66,1.115,1.001,1.019,0.930,330.3,374.4,3.335,3.249,-1.1,1.0,17.55,19.77,-63.83,-72.92,0.070,-0.065,106.71,109.71,0.260,0.263,0.069,0.053,0.049,0.034,0.130,0.132
19,60.995,60.430,1.125,1.120,106.67,107.14,61.33,62.95,38.67,37.05,7.25,7.09,60.14,58.87,32.61,34.04,24.55,24.55,1.074,0.980,0.965,0.900,329.5,358.6,3.346,3.085,3.4,-3.5,20.05,21.05,-60.00,-70.45,0.068,-0.084,110.26,107.57,0.256,0.264,0.071,0.056,0.049,0.027,0.150,0.108
20,62.105,61.550,1.110,1.120,108.11,107.14,59.91,63.39,40.09,36.61,9.77,7.04,65.41,58.45,24.81,34.51,23.66,23.66,0.938,0.951,0.919,0.871,324.7,359.7,3.132,3.164,-0.6,2.7,18.50,21.99,-54.20,-71.98,0.034,-0.038,110.69,110.36,0.229,0.267,0.059,0.059,0.035,0.045,0.135,0.144
21,63.230,62.670,1.125,1.120,106.67,107.14,60.44,63.39,39.56,36.61,9.56,7.04,60.29,59.86,30.15,33.10,23.21,23.21,1.081,1.037,0.994,0.943,332.1,363.6,3.277,3.390,-3.9,2.8,19.18,20.58,-59.89,-67.97,0.056,-0.043,107.46,106.01,0.255,0.259,0.069,0.058,0.038,0.037,0.135,0.123
22,64.335,63.790,1.105,1.120,108.60,107.14,61.54,62.95,38.46,37.05,10.29,7.09,60.29,57.45,29.41,35.46,24.42,24.42,0.993,1.008,0.914,0.939,332.4,376.1,3.191,3.158,1.2,-0.4,17.55,16.38,-62.12,-73.79,0.039,-0.043,108.78,106.24,0.249,0.245,0.062,0.034,0.047,0.020,0.136,0.110
23,65.455,64.875,1.120,1.085,107.14,110.60,59.38,63.59,40.62,36.41,9.02,7.25,62.41,56.52,28.57,36.23,24.36,24.36,0.962,0.967,0.875,0.888,327.3,371.3,3.062,3.150,0.3,-3.7,21.66,19.48,-57.19,-72.60,0.037,-0.044,109.35,108.47,0.242,0.264,0.065,0.057,0.044,0.041,0.154,0.130
24,66.615,66.045,1.160,1.170,103.45,102.56,60.78,63.25,39.22,36.75,10.64,6.76,58.16,56.76,31.21,36.49,23.56,23.56,1.058,1.043,0.881,0.921,317.9,352.6,3.130,3.218,-0.0,5.0,19.13,17.70,-60.50,-70.75,0.071,-0.050,107.33,106.85,0.254,0.257,0.069,0.051,0.046,0.030,0.137,0.117
25,67.715,67.170,1.100,1.125,109.09,106.67,61.36,64.00,38.64,36.00,8.89,6.94,60.00,54.86,31.11,38.19,22.87,22.87,1.013,1.089,1.011,0.981,338.6,367.9,3.213,3.311,0.6,-1.4,18.74,20.84,-60.01,-74.05,0.035,-0.061,108.13,106.40,0.248,0.269,0.062,0.058,0.037,0.033,0.137,0.124
26,68.840,68.285,1.125,1.115,106.67,107.62,61.33,60.99,38.67,39.01,8.70,7.35,57.97,56.62,33.33,36.03,23.56,23.56,1.014,1.028,0.907,0.951,338.5,356.3,3.247,3.301,-2.2,-0.9,19.61,18.47,-64.73,-69.74,0.068,-0.047,109.24,108.61,0.263,0.261,0.072,0.057,0.048,0.038,0.146,0.130
27,69.970,69.410,1.130,1.125,106.19,106.67,60.18,62.22,39.82,37.78,9.56,7.14,62.50,55.00,27.94,37.86,23.77,23.77,0.971,0.974,0.936,0.879,308.8,367.0,3.081,3.113,0.5,1.2,16.93,19.74,-55.32,-74.66,0.062,-0.064,109.49,108.88,0.222,0.274,0.047,0.061,0.025,0.036,0.112,0.129
28,71.080,70.525,1.110,1.115,108.11,107.62,59.91,64.13,40.09,35.87,8.27,6.99,60.15,57.34,31.58,35.66,22.91,22.91,0.968,0.966,0.897,0.893,339.5,377.9,3.158,3.184,2.9,2.5,18.02,19.40,-59.92,-74.16,0.029,-0.049,110.63,106.74,0.246,0.265,0.062,0.053,0.032,0.037,0.132,0.120
29,72.220,71.660,1.140,1.135,105.26,105.73,62.28,62.11,37.72,37.89,9.15,7.09,59.86,57.45,30.99,35.46,24.22,24.22,1.108,0.972,0.984,0.900,334.6,348.8,3.427,3.136,-2.8,0.8,18.13,20.05,-63.05,-73.82,0.061,-0.075,105.98,111.60,0.259,0.269,0.070,0.056,0.041,0.037,0.130,0.124
30,73.330,72.775,1.110,1.115,108.11,107.62,60.36,62.78,39.64,37.22,8.21,7.14,64.18,57.86,27.61,35.00,22.87,22.87,0.924,1.004,0.898,0.945,329.6,357.9,3.046,3.272,-1.8,-4.5,19.64,18.86,-55.94,-70.84,0.064,-0.060,113.00,106.99,0.242,0.269,0.064,0.061,0.048,0.037,0.151,0.115
31,74.440,73.890,1.110,1.115,108.11,107.62,59.91,62.33,40.09,37.67,7.52,7.19,60.90,57.55,31.58,35.25,22.81,22.81,1.098,0.983,0.991,0.916,327.7,358.1,3.317,3.280,0.5,3.0,20.30,17.99,-57.57,-74.15,0.067,-0.027,106.80,110.65,0.258,0.288,0.080,0.078,0.054,0.057,0.155,0.125
32,75.580,75.030,1.140,1.140,105.26,105.26,60.53,61.84,39.47,38.16,7.25,7.09,63.77,58.16,28.99,34.75,22.07,22.07,0.949,1.011,0.865,0.891,330.6,370.4,3.064,3.169,0.5,2.5,18.19,20.34,-55.64,-72.67,0.045,-0.044,110.59,107.77,0.226,0.264,0.051,0.053,0.029,0.034,0.128,0.130
33,76.690,76.140,1.110,1.110,108.11,108.11,61.26,62.61,38.74,37.39,7.35,7.19,60.29,56.83,32.35,35.97,24.44,24.44,1.065,0.984,0.979,0.914,339.5,368.0,3.285,3.277,4.7,-1.4,14.76,21.51,-65.78,-73.99,0.062,-0.051,105.77,108.70,0.254,0.268,0.056,0.055,0.032,0.035,0.112,0.125
34,77.820,77.265,1.130,1.125,106.19,106.67,61.95,62.67,38.05,37.33,7.14,9.22,60.71,53.19,32.14,37.59,23.66,23.66,1.000,1.112,0.952,1.016,352.7,362.5,3.285,3.405,-3.8,-2.3,18.12,19.62,-66.86,-72.46,0.060,-0.063,111.16,108.69,0.261,0.292,0.064,0.083,0.029,0.059,0.121,0.142
35,78.955,78.385,1.135,1.120,105.73,107.14,59.91,62.05,40.09,37.95,7.35,7.19,62.50,56.12,30.15,36.69,22.37,22.37,1.038,1.027,0.915,0.924,320.7,364.9,3.143,3.256,-1.1,0.8,17.56,20.45,-62.38,-75.02,0.060,-0.059,107.98,109.59,0.241,0.263,0.054,0.050,0.032,0.033,0.128,0.136
36,80.075,79.525,1.120,1.140,107.14,105.26,61.61,62.28,38.39,37.72,7.25,7.04,63.77,60.56,28.99,32.39,24.22,24.22,1.064,1.032,0.985,0.926,328.5,350.0,3.337,3.193,0.6,-1.9,16.67,19.15,-59.92,-71.73,0.035,-0.051,106.72,106.80,0.255,0.262,0.072,0.053,0.043,0.034,0.127,0.127
37,81.200,80.640,1.125,1.115,106.67,107.62,60.89,62.78,39.11,37.22,7.30,7.14,60.58,57.86,32.12,35.00,23.14,23.14,1.062,1.010,0.922,0.922,337.4,347.2,3.304,3.211,2.5,1.4,20.41,18.91,-63.60,-76.85,0.070,-0.040,108.66,109.51,0.261,0.255,0.070,0.041,0.045,0.027,0.151,0.121
38,82.340,81.785,1.140,1.145,105.26,104.80,61.84,61.57,38.16,38.43,7.80,7.09,61.70,56.74,30.50,36.17,24.00,24.00,1.077,1.043,0.992,0.961,330.1,357.3,3.290,3.168,-2.4,-4.2,17.41,20.86,-62.89,-71.34,0.054,-0.074,106.42,109.14,0.274,0.248,0.082,0.042,0.044,0.030,0.131,0.131
39,83.475,82.910,1.135,1.125,105.73,106.67,61.23,62.67,38.77,37.33,7.91,7.09,61.15,57.45,30.94,35.46,24.55,24.55,1.095,0.992,1.014,0.910,343.8,363.7,3.332,3.164,2.8,5.7,18.74,20.27,-61.83,-73.05,0.075,-0.073,109.56,109.97,0.274,0.258,0.084,0.050,0.057,0.032,0.153,0.134
